,Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime,Percentage Difference (Correlated - Booles),Percentage Difference (Correlated - Independent),Percentage Difference (MC Correlated - Theoretical Correlated),Percentage Difference (MC Correlated - Theoretical Independent)
2756,drones_instance-117_network_3_deadline_14_corrsize_4,drones,117,4,4,3,14,4,58.48680629786903,0.2422061139411828,0.601,111,0.9858,0.989,0.989,0.9870185138645502,0.9884039620893454,0.9888681491413406,0.2809879779815674,0.3337116241455078,19.379980325698853,0.32355915065722757,0.0,0.013331734950395375,0.060266725040904495
2758,drones_instance-117_network_4_deadline_10_corrsize_3,drones,117,4,4,4,10,3,8.940236765266242,0.1228299407813431,0.5268,111,0.0713,0.0721,0.0774,0.0347188748369157,0.054446612092664,0.0746720250340001,0.2846555709838867,0.475184679031372,15.45620059967041,7.881136950904385,6.847545219638242,3.5245154599481903,29.655539931958653
2759,drones_instance-117_network_4_deadline_10_corrsize_4,drones,117,4,4,4,10,4,40.45900649527689,0.1705068259661163,0.5507,111,0.0196,0.0179,0.0265,0.0148342508609786,0.0264068672403429,0.0242862253798191,0.4259748458862304,0.4311785697937011,41.00086307525635,26.037735849056602,32.45283018867924,8.35386649124867,0.35144437606452966
2760,drones_instance-117_network_4_deadline_11_corrsize_2,drones,117,4,4,4,11,2,31.130145608384307,0.529739200598893,0.6839,111,0.9582,0.9617,0.9617,0.9508871498972504,0.9609332428546268,0.9609262393178823,0.4247214794158935,0.5208749771118164,0.421738862991333,0.3639388582718049,0.0,0.08045759406443302,0.07972934858825208
2761,drones_instance-117_network_4_deadline_11_corrsize_3,drones,117,4,4,4,11,3,32.80122200610975,0.8915421680558296,0.2155,111,0.9165,0.9206,0.9202,0.8924465787971562,0.9145138249277216,0.9126088481484108,0.3233792781829834,0.4828245639801025,1.1488275527954102,0.4020865029341487,-0.04346881112801086,0.8249458652020437,0.6179281756442535
2763,drones_instance-117_network_4_deadline_12_corrsize_2,drones,117,4,4,4,12,2,20.303242181169697,0.5414046505537146,0.6558,111,0.6352,0.6378,0.6403,0.5767321230503768,0.6367180753897214,0.6428263306183872,0.4205009937286377,0.4721198081970215,0.5693087577819824,0.7965016398563164,0.39044198032171584,-0.39455421183620987,0.5594134952801217
2764,drones_instance-117_network_4_deadline_12_corrsize_3,drones,117,4,4,4,12,3,48.46235876311906,0.4030661354192981,0.4413,111,0.9269,0.9304,0.9302,0.9061606584889136,0.9248182257830706,0.9265678515888504,0.3698952198028564,0.4635987281799316,5.10651707649231,0.35476241668459263,-0.021500752526336053,0.39046962063531193,0.5785609779541415
2765,drones_instance-117_network_4_deadline_12_corrsize_4,drones,117,4,4,4,12,4,24.367087823141905,0.4449293704716536,0.378,111,0.128,0.1255,0.1313,0.0943294607412179,0.1308812592396516,0.1357718797280558,0.2838380336761474,0.49342942237854,6.622814416885376,2.5133282559025116,4.417364813404417,-3.405848993187962,0.318919086327796
2766,drones_instance-117_network_4_deadline_13_corrsize_2,drones,117,4,4,4,13,2,17.076090765039606,0.4588729160226907,0.7151,111,0.9921,0.9974,0.9974,1.0,0.996980071358702,0.9970749615519824,0.3426454067230224,1.2827355861663818,2.080039978027344,0.53138159213956,0.0,0.032588575097008944,0.04210233018828128
2767,drones_instance-117_network_4_deadline_13_corrsize_3,drones,117,4,4,4,13,3,35.765373142647285,0.0398161569207474,0.6391,111,0.9924,0.998,0.9977,1.0,0.9980272763853196,0.9973522999063624,0.284015417098999,1.2973682880401611,39.743271589279175,0.531221810163384,-0.030069159065848144,0.03485016474266854,-0.03280308562890619
2768,drones_instance-117_network_4_deadline_13_corrsize_4,drones,117,4,4,4,13,4,20.60983806573731,0.2294595058748613,0.5881,111,0.9866,0.9905,0.9906,0.9900681138563115,0.9904943011863244,0.990941939680066,0.2803385257720947,0.3901350498199463,20.312898635864254,0.4037956793862309,0.010094891984654651,-0.03451844135534189,0.010670181069615817
2769,drones_instance-117_network_4_deadline_14_corrsize_2,drones,117,4,4,4,14,2,100.5946314643018,0.5242725255649577,0.6741,111,0.9886,0.9928,0.9928,0.8059819846666347,0.990491704230174,0.9908400559102092,0.3248562812805176,0.3307342529296875,0.3321473598480224,0.4230459307010457,0.0,0.19741580275894768,0.2325036029236555
2770,drones_instance-117_network_4_deadline_14_corrsize_3,drones,117,4,4,4,14,3,37.66614866418647,0.4216618000922336,0.5388,111,0.9747,0.9786,0.9789,0.9674791077745164,0.9741566874304156,0.9743279539056272,0.2843110561370849,0.4633142948150635,3.050703525543213,0.4290530186944511,0.03064664419245755,0.4670595662859111,0.48455537537893345
2771,drones_instance-117_network_4_deadline_14_corrsize_4,drones,117,4,4,4,14,4,11.447706730127887,0.4309562250164764,0.3825,111,0.9922,0.9996,0.9996,1.0,0.9992401549499365,0.9992468214748648,0.2813701629638672,0.3357846736907959,9.160332918167114,0.7402961184473863,0.0,0.03533198530765087,0.035998904568186246
2773,drones_instance-117_network_5_deadline_10_corrsize_3,drones,117,4,4,5,10,3,36.60345529247309,0.1952738944796736,0.5735,111,0.1937,0.1981,0.205,0.1255126832048377,0.1747586526715785,0.2067246049557357,0.3640882968902588,0.5466148853302002,10.321921825408936,5.512195121951208,3.365853658536581,-0.8412707101149774,14.751876745571458
2774,drones_instance-117_network_5_deadline_10_corrsize_4,drones,117,4,4,5,10,4,6.762897968964958,0.0053504026295192,0.9026,111,0.8646,0.8691,0.8688,0.8339126636714151,0.8669857240982889,0.8688496680588317,0.2773852348327636,0.457547664642334,9.381688833236694,0.48342541436463876,-0.03453038674032769,-0.005716857600329705,0.20882549513249615
2775,drones_instance-117_network_5_deadline_11_corrsize_2,drones,117,4,4,5,11,2,33.95829719696811,0.6025167850134463,0.551,111,0.4296,0.4393,0.4424,0.388752825921811,0.4548949578624639,0.4421937812519256,0.4253003597259521,0.4041666984558105,1.356152057647705,2.893309222423154,0.7007233273056038,0.04661364106564556,-2.82435756384808
2776,drones_instance-117_network_5_deadline_11_corrsize_3,drones,117,4,4,5,11,3,12.342180750069112,0.0057235513562138,0.8377,111,0.7627,0.7676,0.767,0.6936537975285575,0.7454292945846556,0.7621422601495013,0.3503127098083496,0.4218649864196777,4.235885858535767,0.5606258148630991,-0.07822685788786622,0.633342874902054,2.812347511778937
2777,drones_instance-117_network_5_deadline_11_corrsize_4,drones,117,4,4,5,11,4,17.67439135303462,0.0874154571371786,0.7198,111,0.4951,0.4882,0.5046,0.3235638889307866,0.3877238594701269,0.5067973274762816,0.2809596061706543,0.5613787174224854,22.005855083465576,1.8826793499801948,3.250099088386846,-0.43545926997256057,23.162136450628847
2778,drones_instance-117_network_5_deadline_12_corrsize_2,drones,117,4,4,5,12,2,5.860919206690066,0.6277703126995325,0.5852,111,0.9918,0.9999,0.9998,1.0,0.9992401549499365,0.999247487128018,0.2705099582672119,0.3362500667572021,0.3250658512115478,0.800160032006402,-0.010002000400078915,0.05526233966613238,0.0559957041471862
2779,drones_instance-117_network_5_deadline_12_corrsize_3,drones,117,4,4,5,12,3,18.3317871081504,0.392224199381855,0.5414,111,0.9938,0.9996,0.9996,1.0,0.9992401549499365,0.999248968658221,0.2777390480041504,0.3277459144592285,2.047431707382202,0.5802320928371376,0.0,0.03511718105032525,0.035998904568186246
2780,drones_instance-117_network_5_deadline_12_corrsize_4,drones,117,4,4,5,12,4,22.56359147444472,0.0470278756048158,0.6982,111,0.5684,0.5705,0.5732,0.4601830458170321,0.5263499399769881,0.5778192776054654,0.2657270431518554,0.4595839977264404,41.17612862586975,0.8374040474529005,0.47103977669226016,-0.8058753673177462,8.17342289305861
2781,drones_instance-117_network_5_deadline_13_corrsize_2,drones,117,4,4,5,13,2,41.33057854403818,0.3759970516586048,0.6648,111,0.9421,0.9449,0.9458,0.9260130355162492,0.941300853782624,0.9446321868435662,0.265305757522583,0.4519693851470947,0.5954306125640869,0.3912032142101846,0.09515753859166969,0.12347358389022758,0.4756974220105747
2782,drones_instance-117_network_5_deadline_13_corrsize_3,drones,117,4,4,5,13,3,51.44744256768868,0.0325077216174367,0.8666,111,0.2323,0.2457,0.2449,0.1790920128039217,0.2477787436355546,0.2464073791232747,0.2676432132720947,0.54952073097229,5.985069990158081,5.144957125357289,-0.3266639444671275,-0.6155080127703957,-1.175477188874887
2783,drones_instance-117_network_5_deadline_13_corrsize_4,drones,117,4,4,5,13,4,48.92310881021509,0.0744922361875115,0.4548,111,0.5189,0.5202,0.5358,0.4337627458681041,0.4989802250682634,0.537392158794258,0.2641074657440185,0.4320423603057861,209.5318307876587,3.154162000746552,2.911534154535285,-0.29715543005933026,6.871925145900831
2784,drones_instance-117_network_5_deadline_14_corrsize_2,drones,117,4,4,5,14,2,12.757615710421208,0.5557746015707885,0.6145,111,0.9938,0.9998,0.9998,1.0,0.9992401549499365,0.999245225951688,0.2633476257324219,0.3269543647766113,0.3345475196838379,0.6001200240048015,0.0,0.05548850253171201,0.0559957041471862
2786,drones_instance-117_network_5_deadline_14_corrsize_4,drones,117,4,4,5,14,4,26.261166312545527,0.0524246856894555,0.7629,111,0.9916,0.9999,0.9999,1.0,0.9992401549499365,0.9992591894990946,0.2697310447692871,0.3325495719909668,24.127259016036987,0.8300830083008274,0.0,0.06408745883642009,0.06599110411676734
2787,drones_instance-117_network_6_deadline_10_corrsize_2,drones,117,4,4,6,10,2,40.73101137111493,0.7824101539965749,0.4649,111,0.022,0.0261,0.027,0.0137200583482816,0.0253104601508029,0.0256397830391593,0.2655680179595947,0.6358296871185303,1.0389013290405271,18.518518518518523,3.3333333333333264,5.037840595706295,6.257554997026291
2790,drones_instance-117_network_6_deadline_11_corrsize_2,drones,117,4,4,6,11,2,50.01257193512146,0.8528352699828816,0.3652,111,0.6424,0.6475,0.647,0.5865604819933197,0.6487897771536913,0.6461517750225892,0.264324426651001,0.4859046936035156,0.7891688346862793,0.7109737248840878,-0.07727975270478284,0.13110123298466336,-0.27662707166790257
2791,drones_instance-117_network_6_deadline_11_corrsize_3,drones,117,4,4,6,11,3,24.476620927263,0.3904595621087831,0.629,111,0.5594,0.5652,0.5751,0.4596505613433228,0.5256577413598503,0.5687324281122189,0.271467924118042,0.4584267139434814,2.3656582832336426,2.7299600069553014,1.721439749608748,1.107211248092685,8.597158518544536
2792,drones_instance-117_network_6_deadline_11_corrsize_4,drones,117,4,4,6,11,4,19.24470408925852,0.4800860665198466,0.5322,111,0.942,0.9463,0.9461,0.9266460969827848,0.9423861160980854,0.9436917451368492,0.2673292160034179,0.455010175704956,1.0414695739746094,0.43335799598352215,-0.02113941443821773,0.25454548812502725,0.39254665489003565
